Idx, Offset, ROM,    Length, T, Inflated
093, 0216B0, 026390, 0003EC, 5, 001000
094, 021AA0, 026780, 00029A, 5, 001000
095, 021D40, 026A20, 000338, 5, 001000
096, 022078, 026D58, 0002D2, 5, 001000
097, 022350, 027030, 000404, 5, 001000
098, 022758, 027438, 000304, 5, 001000
099, 022A60, 027740, 000372, 5, 001000
09A, 022DD8, 027AB8, 00033A, 5, 001000
09B, 023118, 027DF8, 00044C, 5, 001000
09C, 023568, 028248, 00035A, 5, 001000
09D, 0238C8, 0285A8, 0003A0, 5, 001000
09E, 023C68, 028948, 00036C, 5, 001000
09F, 023FD8, 028CB8, 000496, 5, 001000
0A0, 024470, 029150, 0003BC, 5, 001000
0A1, 024830, 029510, 0003E6, 5, 001000
0A2, 024C18, 0298F8, 000362, 5, 001000
0A3, 024F80, 029C60, 0004A8, 5, 001000
0A4, 025428, 02A108, 0003C6, 5, 001000
0A5, 0257F0, 02A4D0, 00041A, 5, 001000
0A6, 025C10, 02A8F0, 0003AC, 5, 001000
0A7, 025FC0, 02ACA0, 0004EC, 5, 001000
0A8, 0264B0, 02B190, 0003FE, 5, 001000
0A9, 0268B0, 02B590, 000432, 5, 001000
0AA, 026CE8, 02B9C8, 0003D0, 5, 001000
0AB, 0270B8, 02BD98, 000500, 5, 001000
0AC, 0275B8, 02C298, 000452, 5, 001000
0AD, 027A10, 02C6F0, 00044C, 5, 001000
0AE, 027E60, 02CB40, 0003DA, 5, 001000
0AF, 028240, 02CF20, 00051C, 5, 001000
0B0, 028760, 02D440, 00049A, 5, 001000
0B1, 028C00, 02D8E0, 000476, 5, 001000
0B2, 029078, 02DD58, 00040A, 5, 001000
0B3, 029488, 02E168, 0004F6, 5, 001000
0B4, 029980, 02E660, 000482, 5, 001000
0B5, 029E08, 02EAE8, 000470, 5, 001000
0B6, 02A278, 02EF58, 000430, 5, 001000
0B7, 02A6A8, 02F388, 0004F8, 5, 001000
0B8, 02ABA0, 02F880, 000448, 5, 001000
0B9, 02AFE8, 02FCC8, 000442, 5, 001000
0BA, 02B430, 030110, 000436, 5, 001000
0BB, 02B868, 030548, 0004F4, 5, 001000
0BC, 02BD60, 030A40, 000412, 5, 001000
0BD, 02C178, 030E58, 000470, 5, 001000
0BE, 02C5E8, 0312C8, 000430, 5, 001000
0BF, 02CA18, 0316F8, 0004FA, 5, 001000
0C0, 02CF18, 031BF8, 000448, 5, 001000
0C1, 02D360, 032040, 0004BA, 5, 001000
0C2, 02D820, 032500, 00040C, 5, 001000
0C3, 02DC30, 032910, 0004FA, 5, 001000
0C4, 02E130, 032E10, 000456, 5, 001000
0C5, 02E588, 033268, 0004BE, 5, 001000
0C6, 02EA48, 033728, 0003E4, 5, 001000
0C7, 02EE30, 033B10, 0004CE, 5, 001000
0C8, 02F300, 033FE0, 000466, 5, 001000
0C9, 02F768, 034448, 0004D2, 5, 001000
0CA, 02FC40, 034920, 0003AA, 5, 001000
0CB, 02FFF0, 034CD0, 0004A6, 5, 001000
0CC, 030498, 035178, 00048A, 5, 001000
0CD, 030928, 035608, 0004CA, 5, 001000
0CE, 030DF8, 035AD8, 00036E, 5, 001000
0CF, 031168, 035E48, 00047E, 5, 001000
0D0, 0315E8, 0362C8, 000478, 5, 001000
0D1, 031A60, 036740, 0004F4, 5, 001000
0D2, 031F58, 036C38, 00036C, 5, 001000
0D3, 0322C8, 036FA8, 00043A, 5, 001000
0D4, 032708, 0373E8, 00043C, 5, 001000
0D5, 032B48, 037828, 0004B4, 5, 001000
0D6, 033000, 037CE0, 00034C, 5, 001000
0D7, 033350, 038030, 000432, 5, 001000
0D8, 033788, 038468, 000406, 5, 001000
0D9, 033B90, 038870, 0004C2, 5, 001000
0DA, 034058, 038D38, 00033E, 5, 001000
0DB, 034398, 039078, 0003F8, 5, 001000
0DC, 034790, 039470, 0003C4, 5, 001000
0DD, 034B58, 039838, 0004EA, 5, 001000
0DE, 035048, 039D28, 000316, 5, 001000
0DF, 035360, 03A040, 0003C2, 5, 001000
0E0, 035728, 03A408, 000378, 5, 001000
0E1, 035AA0, 03A780, 0004F2, 5, 001000
0E2, 035F98, 03AC78, 0002EA, 5, 001000
0E3, 036288, 03AF68, 000366, 5, 001000
0E4, 0365F0, 03B2D0, 0002CA, 5, 001000
0E5, 0368C0, 03B5A0, 00051A, 5, 001000
0E6, 036DE0, 03BAC0, 0002F8, 5, 001000
0E7, 0370D8, 03BDB8, 000300, 5, 001000
0E8, 0373D8, 03C0B8, 000282, 5, 001000
0E9, 037660, 03C340, 0004FA, 5, 001000
0EA, 037B60, 03C840, 0002B6, 5, 001000
0EB, 037E18, 03CAF8, 0002AA, 5, 001000
0EC, 0380C8, 03CDA8, 00023E, 5, 001000
0ED, 038308, 03CFE8, 0004FA, 5, 001000
0EE, 038808, 03D4E8, 0002A2, 5, 001000
0EF, 038AB0, 03D790, 000274, 5, 001000
0F0, 038D28, 03DA08, 00021E, 5, 001000
0F1, 038F48, 03DC28, 0004FA, 5, 001000
0F2, 039448, 03E128, 000282, 5, 001000
0F3, 0396D0, 03E3B0, 000242, 5, 001000
0F4, 039918, 03E5F8, 00021E, 5, 001000
0F5, 039B38, 03E818, 0004AC, 5, 001000
0F6, 039FE8, 03ECC8, 00024A, 5, 001000
0F7, 03A238, 03EF18, 000206, 5, 001000
0F8, 03A440, 03F120, 00020C, 5, 001000
0F9, 03A650, 03F330, 000454, 5, 001000
0FA, 03AAA8, 03F788, 00024A, 5, 001000
0FB, 03ACF8, 03F9D8, 0001C4, 5, 001000
0FC, 03AEC0, 03FBA0, 000208, 5, 001000
0FD, 03B0C8, 03FDA8, 000434, 5, 001000
0FE, 03B500, 0401E0, 000238, 5, 001000
0FF, 03B738, 040418, 000180, 5, 001000
100, 03B8B8, 040598, 000204, 5, 001000
101, 03BAC0, 0407A0, 00038C, 5, 001000
102, 03BE50, 040B30, 00021A, 5, 001000
103, 03C070, 040D50, 00014E, 5, 001000
104, 03C1C0, 040EA0, 000206, 5, 001000
105, 03C3C8, 0410A8, 000344, 5, 001000
106, 03C710, 0413F0, 0001F6, 5, 001000
107, 03C908, 0415E8, 000134, 5, 001000
108, 03CA40, 041720, 0001E4, 5, 001000
109, 03CC28, 041908, 0002FC, 5, 001000
10A, 03CF28, 041C08, 0001DA, 5, 001000
10B, 03D108, 041DE8, 000100, 5, 001000
10C, 03D208, 041EE8, 0001D6, 5, 001000
10D, 03D3E0, 0420C0, 0002C8, 5, 001000
10E, 03D6A8, 042388, 0001CE, 5, 001000
10F, 03D878, 042558, 0000E8, 5, 001000
110, 03D960, 042640, 0001BC, 5, 001000
111, 03DB20, 042800, 00029E, 5, 001000
112, 03DDC0, 042AA0, 0001B4, 5, 001000
113, 03DF78, 042C58, 0000D8, 5, 001000
114, 03E050, 042D30, 0001A4, 5, 001000
115, 03E1F8, 042ED8, 00027E, 5, 001000
116, 03E478, 043158, 000196, 5, 001000
117, 03E610, 0432F0, 0000C8, 5, 001000
118, 03E6D8, 0433B8, 0001A6, 5, 001000
119, 03E880, 043560, 000246, 5, 001000
11A, 03EAC8, 0437A8, 00017E, 5, 001000
11B, 03EC48, 043928, 0000C0, 5, 001000
11C, 03ED08, 0439E8, 0001A2, 5, 001000
11D, 03EEB0, 043B90, 000210, 5, 001000
11E, 03F0C0, 043DA0, 000170, 5, 001000
11F, 03F230, 043F10, 0000AE, 5, 001000
120, 03F2E0, 043FC0, 0001C0, 5, 001000
121, 03F4A0, 044180, 0001D4, 5, 001000
122, 03F678, 044358, 000138, 5, 001000
123, 03F7B0, 044490, 0000A8, 5, 001000
124, 03F858, 044538, 0001BA, 5, 001000
125, 03FA18, 0446F8, 00018E, 5, 001000
126, 03FBA8, 044888, 00013A, 5, 001000
127, 03FCE8, 0449C8, 000098, 5, 001000
128, 03FD80, 044A60, 0001BC, 5, 001000
129, 03FF40, 044C20, 000152, 5, 001000
12A, 040098, 044D78, 00012A, 5, 001000
12B, 0401C8, 044EA8, 000094, 5, 001000
12C, 040260, 044F40, 0001B2, 5, 001000
12D, 040418, 0450F8, 00012E, 5, 001000
12E, 040548, 045228, 000100, 5, 001000
12F, 040648, 045328, 000088, 5, 001000
130, 0406D0, 0453B0, 0001B4, 5, 001000
131, 040888, 045568, 0000F6, 5, 001000
132, 040980, 045660, 0000EE, 5, 001000
133, 040A70, 045750, 000074, 5, 001000
134, 040AE8, 0457C8, 000198, 5, 001000
135, 040C80, 045960, 0000B2, 5, 001000
136, 040D38, 045A18, 0000CC, 5, 001000
137, 040E08, 045AE8, 00006E, 5, 001000
138, 040E78, 045B58, 00017A, 5, 001000
139, 040FF8, 045CD8, 00008C, 5, 001000
13A, 041088, 045D68, 0000BE, 5, 001000
13B, 041148, 045E28, 00005E, 5, 001000
13C, 0411A8, 045E88, 00016C, 5, 001000
13D, 041318, 045FF8, 000072, 5, 001000
13E, 041390, 046070, 0000B0, 5, 001000
13F, 041440, 046120, 00005E, 5, 001000
140, 0414A0, 046180, 00014C, 5, 001000
141, 0415F0, 0462D0, 00006A, 5, 001000
142, 041660, 046340, 0000B0, 5, 001000
143, 041710, 0463F0, 000058, 5, 001000
144, 041768, 046448, 000136, 5, 001000
145, 0418A0, 046580, 00006A, 5, 001000
146, 041910, 0465F0, 0000A0, 5, 001000
147, 0419B0, 046690, 000054, 5, 001000
148, 041A08, 0466E8, 000114, 5, 001000
149, 041B20, 046800, 000064, 5, 001000
14A, 041B88, 046868, 00009C, 5, 001000
14B, 041C28, 046908, 000052, 5, 001000
14C, 041C80, 046960, 0000EA, 5, 001000
14D, 041D70, 046A50, 000064, 5, 001000
14E, 041DD8, 046AB8, 000084, 5, 001000
14F, 041E60, 046B40, 000050, 5, 001000
150, 041EB0, 046B90, 0000D0, 5, 001000
151, 041F80, 046C60, 00005E, 5, 001000
152, 041FE0, 046CC0, 000084, 5, 001000
153, 042068, 046D48, 000050, 5, 001000
154, 0420B8, 046D98, 0000AC, 5, 001000
155, 042168, 046E48, 000056, 5, 001000
156, 0421C0, 046EA0, 000076, 5, 001000
157, 042238, 046F18, 000050, 5, 001000
158, 042288, 046F68, 000088, 5, 001000
159, 042310, 046FF0, 000058, 5, 001000
15A, 042368, 047048, 00006A, 5, 001000
15B, 0423D8, 0470B8, 000050, 5, 001000
15C, 042428, 047108, 00006E, 5, 001000
15D, 042498, 047178, 000052, 5, 001000
15E, 0424F0, 0471D0, 000064, 5, 001000
15F, 042558, 047238, 000050, 5, 001000
160, 0425A8, 047288, 000058, 5, 001000
161, 042600, 0472E0, 000050, 5, 001000
162, 042650, 047330, 000058, 5, 001000
163, 0426A8, 047388, 000050, 5, 001000
164, 0426F8, 0473D8, 000054, 5, 001000
165, 042750, 047430, 000050, 5, 001000
166, 0427A0, 047480, 000080, 0, 000080
167, 042820, 047500, 000050, 4, 001000
168, 042870, 047550, 000050, 4, 001000
169, 0428C0, 0475A0, 000050, 4, 001000
16A, 042910, 0475F0, 000050, 4, 001000
16B, 042960, 047640, 000148, 4, 001000
16C, 042AA8, 047788, 000054, 4, 001000
16D, 042B00, 0477E0, 00005C, 4, 001000
16E, 042B60, 047840, 0001C4, 4, 001000
16F, 042D28, 047A08, 00005E, 4, 001000
170, 042D88, 047A68, 00006E, 4, 001000
171, 042DF8, 047AD8, 0001FE, 4, 001000
172, 042FF8, 047CD8, 00009E, 4, 001000
173, 043098, 047D78, 00008C, 4, 001000
174, 043128, 047E08, 0001AC, 4, 001000
175, 0432D8, 047FB8, 0000AA, 4, 001000
176, 043388, 048068, 0000BA, 4, 001000
177, 043448, 048128, 00016C, 4, 001000
178, 0435B8, 048298, 0000D0, 4, 001000
179, 043688, 048368, 0000DA, 4, 001000
17A, 043768, 048448, 000158, 4, 001000
17B, 0438C0, 0485A0, 0000EE, 4, 001000
17C, 0439B0, 048690, 0000A2, 4, 001000
17D, 043A58, 048738, 00012E, 4, 001000
17E, 043B88, 048868, 000102, 4, 001000
17F, 043C90, 048970, 0000B4, 4, 001000
180, 043D48, 048A28, 00012C, 4, 001000
181, 043E78, 048B58, 0000C8, 4, 001000
182, 043F40, 048C20, 0000E4, 4, 001000
183, 044028, 048D08, 000118, 4, 001000
184, 044140, 048E20, 0000C8, 4, 001000
185, 044208, 048EE8, 0000FC, 4, 001000
186, 044308, 048FE8, 0000D2, 4, 001000
187, 0443E0, 0490C0, 0000DA, 4, 001000
188, 0444C0, 0491A0, 0000B2, 4, 001000
189, 044578, 049258, 00009C, 4, 001000
18A, 044618, 0492F8, 0000E0, 4, 001000
18B, 0446F8, 0493D8, 00005C, 4, 001000
18C, 044758, 049438, 00009E, 4, 001000
18D, 0447F8, 0494D8, 0000B4, 4, 001000
18E, 0448B0, 049590, 000050, 4, 001000
18F, 044900, 0495E0, 00008E, 4, 001000
190, 044990, 049670, 00007C, 4, 001000
191, 044A10, 0496F0, 000050, 4, 001000
192, 044A60, 049740, 000050, 4, 001000
193, 044AB0, 049790, 000050, 4, 001000
194, 044B00, 0497E0, 000100, 0, 000100
195, 044C00, 0498E0, 000360, 5, 001000
196, 044F60, 049C40, 00019A, 5, 001000
197, 045100, 049DE0, 000230, 5, 001000
198, 045330, 04A010, 000122, 5, 001000
199, 045458, 04A138, 00039A, 5, 001000
19A, 0457F8, 04A4D8, 00022C, 5, 001000
19B, 045A28, 04A708, 000252, 5, 001000
19C, 045C80, 04A960, 00014C, 5, 001000
19D, 045DD0, 04AAB0, 0003DA, 5, 001000
19E, 0461B0, 04AE90, 00021E, 5, 001000
19F, 0463D0, 04B0B0, 00026C, 5, 001000
1A0, 046640, 04B320, 000172, 5, 001000
1A1, 0467B8, 04B498, 000436, 5, 001000
1A2, 046BF0, 04B8D0, 0002C6, 5, 001000
1A3, 046EB8, 04BB98, 000282, 5, 001000
1A4, 047140, 04BE20, 0001E6, 5, 001000
1A5, 047328, 04C008, 00041A, 5, 001000
1A6, 047748, 04C428, 0002B8, 5, 001000
1A7, 047A00, 04C6E0, 0002B8, 5, 001000
1A8, 047CB8, 04C998, 0001C8, 5, 001000
1A9, 047E80, 04CB60, 000454, 5, 001000
1AA, 0482D8, 04CFB8, 000306, 5, 001000
1AB, 0485E0, 04D2C0, 0002D4, 5, 001000
1AC, 0488B8, 04D598, 0001FA, 5, 001000
1AD, 048AB8, 04D798, 000480, 5, 001000
1AE, 048F38, 04DC18, 000352, 5, 001000
1AF, 049290, 04DF70, 000312, 5, 001000
1B0, 0495A8, 04E288, 00022C, 5, 001000
1B1, 0497D8, 04E4B8, 0004B2, 5, 001000
1B2, 049C90, 04E970, 00038A, 5, 001000
1B3, 04A020, 04ED00, 000306, 5, 001000
1B4, 04A328, 04F008, 00026A, 5, 001000
1B5, 04A598, 04F278, 0004B4, 5, 001000
1B6, 04AA50, 04F730, 0003AA, 5, 001000
1B7, 04AE00, 04FAE0, 000324, 5, 001000
1B8, 04B128, 04FE08, 0002A0, 5, 001000
1B9, 04B3C8, 0500A8, 0004D2, 5, 001000
1BA, 04B8A0, 050580, 0003B8, 5, 001000
1BB, 04BC58, 050938, 000344, 5, 001000
1BC, 04BFA0, 050C80, 0002B6, 5, 001000
1BD, 04C258, 050F38, 0004C2, 5, 001000
1BE, 04C720, 051400, 000394, 5, 001000
1BF, 04CAB8, 051798, 00034C, 5, 001000
1C0, 04CE08, 051AE8, 0002D2, 5, 001000
1C1, 04D0E0, 051DC0, 0004BC, 5, 001000
1C2, 04D5A0, 052280, 000352, 5, 001000
1C3, 04D8F8, 0525D8, 000384, 5, 001000
1C4, 04DC80, 052960, 0002D6, 5, 001000
1C5, 04DF58, 052C38, 00047C, 5, 001000
1C6, 04E3D8, 0530B8, 00030E, 5, 001000
1C7, 04E6E8, 0533C8, 00036A, 5, 001000
1C8, 04EA58, 053738, 0002C4, 5, 001000
1C9, 04ED20, 053A00, 000490, 5, 001000
1CA, 04F1B0, 053E90, 0002BA, 5, 001000
1CB, 04F470, 054150, 000378, 5, 001000
1CC, 04F7E8, 0544C8, 0002D2, 5, 001000
1CD, 04FAC0, 0547A0, 0004A6, 5, 001000
1CE, 04FF68, 054C48, 000280, 5, 001000
1CF, 0501E8, 054EC8, 00035A, 5, 001000
1D0, 050548, 055228, 0002E0, 5, 001000
1D1, 050828, 055508, 0004B8, 5, 001000
1D2, 050CE0, 0559C0, 000268, 5, 001000
1D3, 050F48, 055C28, 00035A, 5, 001000
1D4, 0512A8, 055F88, 0002CC, 5, 001000
1D5, 051578, 056258, 0004C8, 5, 001000
1D6, 051A40, 056720, 000236, 5, 001000
1D7, 051C78, 056958, 000366, 5, 001000
1D8, 051FE0, 056CC0, 0002CE, 5, 001000
1D9, 0522B0, 056F90, 0004C8, 5, 001000
1DA, 052778, 057458, 000218, 5, 001000
1DB, 052990, 057670, 00036C, 5, 001000
1DC, 052D00, 0579E0, 0002D6, 5, 001000
1DD, 052FD8, 057CB8, 00049E, 5, 001000
1DE, 053478, 058158, 000210, 5, 001000
1DF, 053688, 058368, 00034E, 5, 001000
1E0, 0539D8, 0586B8, 0002DC, 5, 001000
1E1, 053CB8, 058998, 00047C, 5, 001000
1E2, 054138, 058E18, 0001CC, 5, 001000
1E3, 054308, 058FE8, 00035C, 5, 001000
1E4, 054668, 059348, 0002B6, 5, 001000
1E5, 054920, 059600, 00043C, 5, 001000
1E6, 054D60, 059A40, 0001BE, 5, 001000
1E7, 054F20, 059C00, 000346, 5, 001000
1E8, 055268, 059F48, 000282, 5, 001000
1E9, 0554F0, 05A1D0, 000412, 5, 001000
1EA, 055908, 05A5E8, 000190, 5, 001000
1EB, 055A98, 05A778, 00030E, 5, 001000
1EC, 055DA8, 05AA88, 000264, 5, 001000
1ED, 056010, 05ACF0, 0003B8, 5, 001000
1EE, 0563C8, 05B0A8, 000176, 5, 001000
1EF, 056540, 05B220, 000306, 5, 001000
1F0, 056848, 05B528, 00023A, 5, 001000
1F1, 056A88, 05B768, 0003A0, 5, 001000
1F2, 056E28, 05BB08, 00017A, 5, 001000
1F3, 056FA8, 05BC88, 0002F2, 5, 001000
1F4, 0572A0, 05BF80, 000220, 5, 001000
1F5, 0574C0, 05C1A0, 00036E, 5, 001000
1F6, 057830, 05C510, 000156, 5, 001000
1F7, 057988, 05C668, 000306, 5, 001000
1F8, 057C90, 05C970, 000214, 5, 001000
1F9, 057EA8, 05CB88, 000346, 5, 001000
1FA, 0581F0, 05CED0, 000152, 5, 001000
1FB, 058348, 05D028, 0002CA, 5, 001000
1FC, 058618, 05D2F8, 0001E8, 5, 001000
1FD, 058800, 05D4E0, 0002FE, 5, 001000
1FE, 058B00, 05D7E0, 000148, 5, 001000
1FF, 058C48, 05D928, 0002BE, 5, 001000
200, 058F08, 05DBE8, 0001B4, 5, 001000
201, 0590C0, 05DDA0, 0002DA, 5, 001000
202, 0593A0, 05E080, 000136, 5, 001000
203, 0594D8, 05E1B8, 0002A6, 5, 001000
204, 059780, 05E460, 000198, 5, 001000
205, 059918, 05E5F8, 0002AC, 5, 001000
206, 059BC8, 05E8A8, 000120, 5, 001000
207, 059CE8, 05E9C8, 000290, 5, 001000
208, 059F78, 05EC58, 000170, 5, 001000
209, 05A0E8, 05EDC8, 000282, 5, 001000
20A, 05A370, 05F050, 00012A, 5, 001000
20B, 05A4A0, 05F180, 00026A, 5, 001000
20C, 05A710, 05F3F0, 00015E, 5, 001000
20D, 05A870, 05F550, 000258, 5, 001000
20E, 05AAC8, 05F7A8, 000108, 5, 001000
20F, 05ABD0, 05F8B0, 00025A, 5, 001000
210, 05AE30, 05FB10, 000144, 5, 001000
211, 05AF78, 05FC58, 000212, 5, 001000
212, 05B190, 05FE70, 0000F8, 5, 001000
213, 05B288, 05FF68, 00022C, 5, 001000
214, 05B4B8, 060198, 00012E, 5, 001000
215, 05B5E8, 0602C8, 0001EC, 5, 001000
216, 05B7D8, 0604B8, 0000EE, 5, 001000
217, 05B8C8, 0605A8, 000230, 5, 001000
218, 05BAF8, 0607D8, 000114, 5, 001000
219, 05BC10, 0608F0, 0001CE, 5, 001000
21A, 05BDE0, 060AC0, 0000DE, 5, 001000
21B, 05BEC0, 060BA0, 00021A, 5, 001000
21C, 05C0E0, 060DC0, 000106, 5, 001000
21D, 05C1E8, 060EC8, 00019E, 5, 001000
21E, 05C388, 061068, 0000CA, 5, 001000
21F, 05C458, 061138, 00020E, 5, 001000
220, 05C668, 061348, 0000F6, 5, 001000
