Saving generated levels to: /tmp/BlastCorps
Name,0x20,0x24,0x28,0x2C,0x30,0x34,0x38,0x3C,0x40,0x44,0x48,0x4C,0x50,0x54,0x58,0x5C,0x60,0x64,0x68,0x6C,0x70,0x74,0x78,0x7C,0x80,0x84,0x88,0x8C,0x90,0x94,0x98,0x9C,0xA0,0xA4,0xA8,0xAC,0xB0,0xB4,0xB8,0xBC,0xC0
level15,112,0,16,20,24896,600,0,0,90,50,8,8,36,10,0,434,1,487,0,7862,98,6800,1672,2464,21776,4294941384,72,25448,96,200,8,4294941292,0,0,0,40,0,0,0,140,4294896048
level16,48,300,16,20,41520,600,0,0,90,60,4,8,45,9,0,448,1,739,0,24122,5554,6648,920,2464,34496,4294929416,72,37320,208,168,8,4294929492,0,0,0,20,0,0,0,0,4294825928
level17,56,680,0,0,50116,600,12,0,10,40,24,8,54,10,0,448,1,425,0,13934,98,4,80,0,40992,4294926224,72,40576,152,168,8,4294926320,0,0,0,0,0,0,0,0,4294834016
level18,0,0,8,0,37020,600,12,0,30,10,8,8,45,9,0,98,1,129,121,14228,61,2628,34056,0,32,4294933208,72,33984,8,8,8,4294930592,300,860,0,280,840,336,0,0,4294855368
level19,0,0,0,0,11268,0,0,0,110,10,24,8,18,10,0,98,1,0,0,1324,49,16,80,0,7248,4294959968,72,6952,88,120,8,4294960044,0,0,0,0,0,0,0,0,4294943292
level20,24,0,0,0,17996,0,0,0,30,20,36,8,18,10,0,98,1,0,0,12202,37,14536,69448,2624,32,4294895192,72,72000,8,8,8,4294887284,680,940,0,400,2784,3108,0,0,4294841428
level21,0,0,0,20,3416,0,0,0,10,80,36,8,18,10,0,84,1,0,0,2852,37,732,5792,0,18000,4294943504,72,23472,112,120,8,4294942784,40,20,0,20,312,168,0,168,4294923552
level22,0,0,8,20,34776,0,0,0,10,10,36,8,18,10,0,14,1,0,0,6768,37,68,472,0,33376,4294933448,72,33408,136,128,8,4294933480,0,0,0,0,0,0,0,56,4294861912
level23,0,0,0,0,14476,2400,0,0,10,10,16,8,18,10,0,56,1,0,0,9804,39,8,80,0,6648,4294960568,72,6432,96,112,8,4294960572,0,0,0,0,0,0,0,0,4294922036
level24,0,0,0,0,5648,1344,0,0,10,10,8,8,18,10,0,56,1,0,0,3440,11,4,80,0,3144,4294964072,72,2944,96,96,8,4294964080,0,0,0,0,0,0,0,0,4294950080
level25,0,0,0,40,23224,0,0,0,260,240,24,8,18,10,0,420,1,0,0,11376,27,88,816,0,31584,4294934896,72,31976,128,120,8,4294934908,0,0,0,80,0,0,0,0,4294887972
level26,0,0,0,40,27580,600,0,0,540,50,8,8,18,10,8,252,1,0,0,8224,41,84,928,0,26272,4294940096,72,26784,112,112,8,4294940128,0,0,0,80,0,0,0,0,4294884928
level27,0,0,8,20,32980,0,0,0,10,10,80,8,18,10,0,0,1,0,0,10068,83,520,4008,0,23024,4294940264,72,26656,120,168,8,4294939756,0,0,0,60,0,56,0,392,4294881640
level28,88,0,0,20,15344,0,0,0,100,50,16,8,18,10,0,84,1,0,0,1016,225,452,3120,0,13248,4294950928,72,15848,152,144,8,4294950624,0,0,0,20,0,0,0,420,4294924424
level29,0,340,16,20,57312,600,0,0,10,20,4,8,54,10,0,350,1,84,319,7044,1808,24,320,0,45688,4294921288,72,45336,240,240,8,4294921380,0,0,0,20,0,0,0,0,4294828032
level30,40,0,0,0,15100,0,0,0,400,250,60,8,18,10,0,476,1,0,0,3228,61,4,80,0,19280,4294947936,72,18848,160,144,8,4294948064,0,0,0,0,0,0,0,0,4294922880
level31,0,40,0,0,44432,0,0,0,240,50,4,8,18,10,0,574,1,0,0,10364,27,16,80,0,35992,4294931224,72,35544,176,152,8,4294931332,0,0,0,0,0,0,0,0,4294857340
level32,0,0,0,0,45152,0,216,0,240,50,24,8,18,10,0,238,1,0,0,13004,27,12,80,0,34688,4294932528,72,34352,120,112,8,4294932624,0,0,0,0,0,0,0,0,4294845896
level33,120,0,8,0,19068,600,0,0,90,70,48,8,18,10,0,406,1,0,0,6252,49,12,80,0,20760,4294946456,72,20384,128,152,8,4294946544,0,0,0,0,0,0,0,0,4294910584
level34,0,0,0,0,18648,0,120,0,10,10,4,8,18,10,0,84,1,1925,0,6692,50,108,7832,0,32,4294959432,72,7760,8,8,8,4294959336,40,60,0,0,0,0,0,0,4294924068
level35,0,0,0,20,49760,0,0,0,90,80,4,8,18,10,0,154,1,0,0,19100,51,24,536,0,39560,4294927200,72,39520,144,240,8,4294927292,0,0,0,20,0,0,0,0,4294833920
level36,0,0,8,20,35088,0,0,0,10,80,4,8,18,10,0,126,1,0,0,9574,49,36,1112,0,18352,4294947832,72,19024,104,160,8,4294947896,0,0,0,20,0,0,0,0,4294890188
level37,0,0,8,0,12460,0,0,0,10,10,4,8,18,10,0,154,1,0,0,1770,35,16,80,0,11328,4294955888,72,11008,112,112,8,4294955972,0,0,0,0,0,0,0,0,4294940012
level38,0,0,0,0,23564,0,0,0,10,10,4,8,9,9,0,14,1,0,0,192,19,8,80,0,15656,4294951560,72,15416,96,136,8,4294951564,0,0,0,0,0,0,0,0,4294917732
level39,120,0,0,0,45152,0,0,0,240,50,4,8,18,10,0,238,1,0,0,13004,27,16,80,0,44208,4294923008,72,43672,224,176,8,4294923132,0,0,0,0,0,0,0,0,4294842060
level40,0,0,0,0,63868,0,0,0,50,10,24,8,18,10,0,420,1,0,0,1400,171,12,80,0,48816,4294918400,72,48312,360,136,8,4294918400,0,0,0,0,0,0,0,0,4294819624
level41,0,0,0,0,2388,0,0,0,10,80,48,8,18,10,0,0,1,0,0,3150,51,4,80,0,32336,4294934880,72,32048,128,152,8,4294934888,0,0,0,0,0,0,0,0,4294913296
level42,0,0,0,0,28708,0,0,0,10,10,48,8,18,10,0,0,1,0,0,10036,51,4,80,0,23384,4294943832,72,23048,160,168,8,4294943840,0,0,0,0,0,0,0,0,4294886096
level43,0,0,0,0,73408,0,0,0,20,10,80,8,18,10,0,0,1,0,0,6372,169,7336,79264,0,32,4294888000,72,79192,8,8,8,4294880676,740,360,0,0,3764,2468,0,0,4294779376
level44,0,0,0,0,59264,0,0,0,10,10,36,8,18,10,0,392,1,0,0,1024,147,16,80,0,39856,4294927360,72,39520,216,112,8,4294927356,0,0,0,0,0,0,0,0,4294828796
level45,0,0,0,0,60108,0,0,0,10,10,48,8,18,10,0,168,1,0,0,1620,171,12,80,0,44616,4294922600,72,44120,360,128,8,4294922600,0,0,0,0,0,0,0,0,4294828232
level46,0,0,0,0,56964,0,0,0,10,10,64,8,18,10,0,0,1,0,0,8320,227,8,80,0,49016,4294918200,72,48456,400,152,8,4294918204,0,0,0,0,0,0,0,0,4294819220
level47,0,0,16,0,15100,600,0,0,400,250,24,8,18,10,0,392,1,0,0,3228,61,12,80,0,19280,4294947936,72,18848,160,144,8,4294948056,0,0,0,0,0,0,0,0,4294922424
level48,0,0,0,0,26164,0,0,0,10,10,224,8,18,10,0,350,1,0,0,2116,225,8,80,0,26024,4294941192,72,25464,232,224,8,4294941292,0,0,0,0,0,0,0,0,4294906372
level49,0,0,0,0,52248,0,0,0,10,10,48,8,9,9,0,98,1,0,0,48,51,12,80,0,44016,4294923200,72,43704,152,152,8,4294923200,0,0,0,0,0,0,0,0,4294843576
level50,0,0,0,0,26560,0,72,0,30,80,4,8,27,9,0,350,1,0,0,2384,143,4,80,0,17752,4294949464,72,17432,216,96,8,4294949472,0,0,0,0,0,0,0,0,4294907424
level51,72,0,0,0,31340,0,0,0,510,50,8,8,18,10,0,210,1,0,0,8048,41,12,80,0,34664,4294932552,72,34232,144,144,8,4294932688,0,0,0,0,0,0,0,0,4294876648
level52,0,240,8,56,30060,0,0,0,10,10,4,8,18,10,0,196,1,0,0,30430,401,76,7032,0,3512,4294956752,72,10312,8,136,8,4294956688,20,40,0,0,0,0,0,0,4294883500
level53,0,0,0,0,12800,0,0,0,60,80,80,8,18,10,0,154,1,0,0,4546,83,8,80,0,11832,4294955384,72,11464,96,176,8,4294955476,0,0,0,0,0,0,0,0,4294935876
level54,0,0,8,0,6840,0,0,0,10,10,4,8,18,10,0,210,1,0,0,6756,25,12,80,0,4120,4294963096,72,3920,96,96,8,4294963096,0,0,0,0,0,0,0,0,4294943160
level55,0,0,0,0,3540,0,0,0,10,860,80,8,18,10,0,42,1,0,0,432,83,12,80,0,5120,4294962096,72,4896,96,120,8,4294962096,0,0,0,0,0,0,0,0,4294953576
level56,0,0,0,0,62984,0,0,0,40,10,64,8,18,10,0,0,1,0,0,9502,67,8,80,0,36512,4294930704,72,36104,176,136,8,4294930796,0,0,0,0,0,0,0,0,4294826452
level57,16,0,0,0,47780,600,0,0,290,50,8,8,27,9,0,574,1,0,0,18640,73,12,80,0,41552,4294925664,72,41104,176,152,8,4294925776,0,0,0,0,0,0,0,0,4294834520
level58,0,0,0,0,21860,600,0,0,30,30,16,8,18,10,0,224,1,409,0,3396,142,16,80,0,20240,4294946976,72,19968,152,8,8,4294947076,0,0,0,0,0,0,0,0,4294896828
level59,0,0,8,36,29184,0,0,0,10,10,4,8,18,10,0,210,1,0,0,8556,65,48,1376,0,18016,4294947904,72,18992,128,96,8,4294947956,0,40,0,0,0,0,0,0,4294891604
